,Name,Rate,Address,Country,Pos Code,State,URL,Username,User Location,User Contribution,User Helpful Vote,Comment,User Response Date,Date Of Stay,User Traveller Type
0,J&P Homestays House 1,5.0,472 Jalan Perdana,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d12811213-Reviews-J_P_Homestays_House_1-Kampar_Kampar_District_Perak.html,BettyandLingShing,Malaysia,640,280,"The homestay is located beside UTAR, within the walking distance to Giant Hypermarket and Tesco Hypermarket. The environment is quiet in a peaceful neighbourhood with ample of parking space.Flatscreen tv with satellite channels, wide living area, dining area, and cooking area with cookware and fridge, and cloth washing machine were available on sharing basis. The room was air conditioned with separated bathroom.With the price charged per night, it worth all the money spent.",Dec 2018,November 2018,Couples
1,OYO 89539 Hotel Siswa,0.0,"No. 3, Jalan Siswa, Taman Kampar Siswa",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d17551318-Reviews-OYO_89539_Hotel_Siswa-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
2,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,None,None,None,None,None,None,None,None
3,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,hakimamir,"Petaling Jaya, Malaysia",114,26,"Stayed a night as I was taking part in the Kampar Majesty Ride event the morning after. RM100 for a queen size bed is about alright for me, although no small fridge or free coffee/tea sachets available. Cant complain much. Location wise is good as very nearby to the vibrant Kampar new township with many shops and restaurants. This hotel has good potential to be an even better hotel than it is now.",Jul 2019,July 2019,Solo
4,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,SS Tan,"Kuala Lumpur, Malaysia",106,7,"The hotel room price is reasonable as compared to other hotel in the surrounding area. Hotel room is big, clean and surprisingly quite (as I came out from the lift I hear children crying but when I when in to the room there are no crying sound - which is a plus point). But one would need to drive out for food as there are no restaurant nearby. Nonetheless, it only take bout 1KM drive to nearby KFC/McD and other F&B shop. There is only 1 complaint (if there is any) as the front desk only officially open from 7am-7pm, to go in & out of the hotel will be a little bit troublesome. They indicate that the room access card can open the front door but its not working. Nonetheless, they have a worker around the lobby area so you need to press the bell & hope that the staff is around to open the door for you.",Mar 2019,March 2019,Solo
5,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,wym6977,"Kuala Lumpur, Malaysia",11,7,"Booked a double queen room for my family of five...the room is spacious and come with one sofa (big enough for my kid to sleep on..). Overall pleasant stay, clean room and good WIFI! Only issue is the door close bang too load so might disturb your sleep at night..",Dec 2019,December 2019,None
6,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,emiesuhaily,"Penang Island, Malaysia",2,0,The price is value for money...The room is clean...toilet is very clean..lobby area is comfortable..Location is specific and easy to find..lot of car parking space..staff is friendly..overall..the hotel is worth to stay n value for money..,Dec 2018,December 2018,Families
7,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,cariechian,"Singapore, Singapore",2,0,There was some cleanliness issue with one of the rooms.Tiny roaches were spotted around the tea table. We were concerned and contacted the front desk. Staff was not able to resolve the issue hence they did a room change for us.The second room that we had was clean and had no cleanliness issue.Overall great service and action from the staff. But housekeeping work is to be improved.,Nov 2018,November 2018,Families
8,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,WanderedBoy,No Country,7,3,"I've been in Kampar for a wedding photoshoot. I stay at this Kampar Boutique Hotel for a night. Its a good place to stay. The room is clean and neat. The complimentary is enough since you get soap, shampoo, and toothbrush for the nights you stay there. Overall its a really good place to stay!",Aug 2018,March 2018,Business
9,Kampar Boutique Hotel,0.0,"Lot 553, Jalan Baru, Taman Tasik Emas",Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Hotel_Review-g3522152-d13803157-Reviews-Kampar_Boutique_Hotel-Kampar_Kampar_District_Perak.html,Amirizzuan,"Kuala Lumpur, Malaysia",22,18,"It's a nice 2 night stay during Raya, because my aunt's place is full with my cousins. It's a nice hotel, with full amnesties. Just that, if you stayed in the one in the Kampar town center, the parking is a bit problematic because it's next to a cinema, so, the parking is always full thus you have to park further away from the hotel building, perhaps on the next 1 or 2 blocks.",Sep 2018,June 2018,None
