Name,Rate,Address,Country,Pos Code,State,URL,Username,User Location,User Contribution,User Helpful Vote,Comment,User Response Date,Date Of Stay,User Traveller Type
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,Carrywong,"Taiping, Perak, Malaysia",5,5,"Always came back to Louis Hotel for my trip to Taiping. Very convenient location to every eateries. Room is clean as always, strong shower pressure which is a very plus point after an exhausting day. Two steps to good supper, markets and many more. Give it a try and you will agree everything I said here.",Mar 2020,January 2020,Friends
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,Teikweng,"Taiping, Malaysia",1,1,"Dont judge the book by its cover, you will be amazed once you step into the property, especially the room  is well equipped with anything you could expect a boutique hotel provide, and even more than that. Located in the town centre and walk distance to every famous local foods. Friendly reception and kudos to the housekeeper who dont his job well. Highly recomend to everyone.",Mar 2020,January 2020,Solo
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,PortDicksonHappy,Kuala Lumpur,67,34,"Room for 3 pax . $100 pernight (Agoda)Location super.  Beside the historical market.   Lots of yummy food nearby.Ample parking lots (low season)Places of interest are within 15 minutes drive.Beds, water pressure, airconds, lightings,Deco of room good & modern.Will stay again.",Jan 2020,January 2020,Families
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,Nur Amira Najwa,"Melaka, Malaysia",52,1,"We’re greeted by friendly staffs even though we checked in quite late. The SOP of the hotel was well carried out with the temperature machine, QR code, and automatic hand sanitiser. The place was super clean & comfortable. The elevator was modern & fast too. The hallway of the room was clean, the exterior of the hallway as well as the room numbers on the wall was very nice. I really like that. The “do not disturb” and “make up my room” sign was operated by a switch inside the room which was nice!The room was REALLY clean, comfortable, well-organized. The beds, blankets & pillows were so soft, comfortable. Air-conditioner was working well. The tv has a few interesting, nice channels. The toilet was clean, floor wasn’t slippery at all. And I really enjoy the showers at the wall & on the ceiling as light shows up when I turned it on. That made me really happy while showering! 😂 The shampoo & bath gel was super nice to use. Thank you so much for the friendly welcome, the clean, comfortable room. I stayed here for 2 days 1 night but it was SO worth it. Will definitely come back!",12 Aug,August 2020,Families
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,macedonboy,"Glasgow, United Kingdom","139,821","84,278","I booked here for 2 nights, 2 days before the arrival date. When I arrived after a long journey from Kuala Lumpur, I discovered that the hotel had cancelled my booking without telling me or the online booking site.  I understand that the Malaysian government has put in place certain measures due to Covid-19 and that has caused some hotels to decide to refuse new bookings until 31st March.The way I see it. Louis Hotel accepted my booking. If the hotel did not want to accept new bookings, then they should have updated their system to do so. Secondly, I did not receive any messages from the hotel to say that they were going to cancel the booking. There is a messaging facility on booking.com for hotels to contact guests. The hotel had 2 days to message me, but did not do so.Thirdly, I know that Louis Hotel had my mobile number. The reception had my reservation form and I could see my mobile contact number written on it.The hotel had at least 2 ways to contact me to let me know that the booking was cancelled, but failed in this basic courtesy. Instead, they let me travel from nearly 300km for no reason.Incidentally, the hotel is located right opposite the wet market. In this age when there is so much information about the dangers of such places, who would want to stay here!The only good thing I can say about the reception was that they let me have access to their Wifi so that I could try and find another hotel.",Mar 2020,March 2020,None
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,kcloke6,"Petaling Jaya, Malaysia",15,2,Went for an overnight trip to explore Taiping in a family of 3 adults.  The location of the hotel is within walking distance of a few recommended famous food places.  The room is functional.  What surprised me was the speed of the in-house WIFI.  It was super fast.  Will certainly recommend to friends to this hotel.,May 2019,May 2019,Families
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,sooklg,Kuala Lumpur,20,13,"Facilities  provided are in tip top condition but cars need to be parked in public area without security provided. New , clean and facilities are in working condition. Located at the town center. Suitable for short stay.",May 2019,February 2019,Families
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,funtravelfreak,Maryland,106,68,"My family recently stayed here for Cheng Beng.  We reserved several rooms.  This hotel has a lot of positives and some negatives.  Positives - clean rooms, low room rates, great location near city center.Negatives - slow reception service, lack of parking, bare bones amenities.",Apr 2019,March 2019,Families
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,EdwardLiew128,"Kuala Lumpur, Malaysia",75,10,First time for us to stay here.  It is a great location with polite and helpful staff.  Room is nice and clean as well as well maintained.  We can walk to any food stores and a convenient store is just nice door.  Definitely will recommend to stay.,Dec 2018,December 2018,Families
Louis Hotel,4.5,"129-131, Jalan Pasar.",Malaysia,34000,Taiping,https://www.tripadvisor.com.my/Hotel_Review-g670111-d9793195-Reviews-Louis_Hotel-Taiping_Larut_Matang_dan_Selama_District_Perak.html,kohlydia,"Kuala Lumpur, Malaysia",101,48,"We took a King bed + single bed for 3 adults 1 child. The water pressure is excellent and the toilets are equipped with water bidets to wash your bottoms. They do not have a mini bar but have a kettle with 2 sachet of instant coffee with cups and 2 mineral bottle water. Room is well lighted up and there are plug points at each sides of the beds which is excellent for charging. there is extra power points at the dressing areas as well. Beds are comfy and clean. Would be great for more hangers in the room. There is a safe to keep your valuables and two luggage holders. It's situated next to the morning market and night time, there is plenty of food walking distance. Behind there is a 7-11 should you forget to bring something you need. The reception lady is friendly and the hotel provided 2 complimentary parking tickets for weekdays check-in and a packet of local made biscuits.There is only one lift to service 3 levels, each level have their own wifi. Overall, this is a hotel that I would recommend to others.",Aug 2019,August 2019,None
